ITEM, SPEED0, SPEED1, SPEED2, SPEED3
139,1,1000,1138,7724
140,1,1000,1139,7722
141,1,1000,1140,7720
142,1,1000,1141,7718
143,1,1000,1142,7716
144,1,1000,1143,7714
145,1,1000,1144,7712
146,1,1000,1145,7710
147,1,1000,1146,7708
148,1,1000,1147,7706
149,1,1000,1148,7704
150,1,1000,1149,7702
151,1,1000,1150,7700
152,1,1000,1151,7698
153,1,1000,1152,7696
154,1,1000,1153,7694
155,1,1000,1154,7692
156,1,1000,1155,7690
157,1,1000,1156,7688
158,1,1000,1157,7686
159,1,1000,1158,7684
160,1,1000,1159,7682
161,1,1000,1160,7680
162,1,1000,1161,7678
163,1,1000,1162,7676
164,1,1000,1163,7674
165,1,1000,1164,7672
166,1,1000,1165,7670
167,1,1000,1166,7668
168,1,1000,1167,7666
169,1,1000,1168,7664
170,1,1000,1169,7662
171,1,1000,1170,7660
172,1,1000,1171,7658
173,1,1000,1172,7656
174,1,1000,1173,7654
175,1,1000,1174,7652
176,1,1000,1175,7650
177,1,1000,1176,7648
178,1,1000,1177,7646
179,1,1000,1178,7644
180,1,1000,1179,7642
181,1,1000,1180,7640
182,1,1000,1181,7638
183,1,1000,1182,7636
184,1,1000,1183,7634
185,1,1000,1184,7632
186,1,1000,1185,7630
187,1,1000,1186,7628
188,1,1000,1187,7626
189,1,1000,1188,7624
190,1,1000,1189,7622
191,1,1000,1190,7620
192,1,1000,1191,7618
193,1,1000,1192,7616
194,1,1000,1193,7614
195,1,1000,1194,7612
196,1,1000,1195,7610
197,1,1000,1196,7608
198,1,1000,1197,7606
199,1,1000,1198,7604
200,1,1000,1199,7602
201,1,1000,1200,7600
202,1,1000,1201,7598
203,1,1000,1202,7596
204,1,1000,1203,7594
205,1,1000,1204,7592
206,1,1000,1205,7590
207,1,1000,1206,7588
208,1,1000,1207,7586
209,1,1000,1208,7584
210,1,1000,1209,7582
211,1,1000,1210,7580
212,1,1000,1211,7578
213,1,1000,1212,7576
214,1,1000,1213,7574
215,1,1000,1214,7572
216,1,1000,1215,7570
217,1,1000,1216,7568
218,1,1000,1217,7566
219,1,1000,1218,7564
220,1,1000,1219,7562
221,1,1000,1220,7560
222,1,1000,1221,7558
223,1,1000,1222,7556
224,1,1000,1223,7554
225,1,1000,1224,7552
226,1,1000,1225,7550
227,1,1000,1226,7548
228,1,1000,1227,7546
229,1,1000,1228,7544
230,1,1000,1229,7542
231,1,1000,1230,7540
232,1,1000,1231,7538
233,1,1000,1232,7536
234,1,1000,1233,7534
235,1,1000,1234,7532
236,1,1000,1235,7530
237,1,1000,1236,7528
238,1,1000,1237,7526
239,1,1000,1238,7524
240,1,1000,1239,7522
241,1,1000,1240,7520
242,1,1000,1241,7518
243,1,1000,1242,7516
244,1,1000,1243,7514
245,1,1000,1244,7512
246,1,1000,1245,7510
247,1,1000,1246,7508
248,1,1000,1247,7506
249,1,1000,1248,7504
250,1,1000,1249,7502
251,1,1000,1250,7500
252,1,1000,1251,7498
253,1,1000,1252,7496
254,1,1000,1253,7494
255,1,1000,1254,7492
256,1,1000,1255,7490
257,1,1000,1256,7488
258,1,1000,1257,7486
259,1,1000,1258,7484
260,1,1000,1259,7482
261,1,1000,1260,7480
262,1,1000,1261,7478
263,1,1000,1262,7476
264,1,1000,1263,7474
265,1,1000,1264,7472
266,1,1000,1265,7470
267,1,1000,1266,7468
268,1,1000,1267,7466
269,1,1000,1268,7464
270,1,1000,1269,7462
271,1,1000,1270,7460
272,1,1000,1271,7458
273,1,1000,1272,7456
274,1,1000,1273,7454
275,1,1000,1274,7452
276,1,1000,1275,7450
277,1,1000,1276,7448
278,1,1000,1277,7446
279,1,1000,1278,7444
280,1,1000,1279,7442
281,1,1000,1280,7440
282,1,1000,1281,7438
283,1,1000,1282,7436
284,1,1000,1283,7434
285,1,1000,1284,7432
286,1,1000,1285,7430
287,1,1000,1286,7428
288,1,1000,1287,7426
289,1,1000,1288,7424
290,1,1000,1289,7422
291,1,1000,1290,7420
292,1,1000,1291,7418
293,1,1000,1292,7416
294,1,1000,1293,7414
295,1,1000,1294,7412
296,1,1000,1295,7410
297,1,1000,1296,7408
298,1,1000,1297,7406
299,1,1000,1298,7404
300,1,1000,1299,7402
301,1,1000,1300,7400
302,1,1000,1301,7398
303,1,1000,1302,7396
304,1,1000,1303,7394
305,1,1000,1304,7392
306,1,1000,1305,7390
307,1,1000,1306,7388
308,1,1000,1307,7386
309,1,1000,1308,7384
310,1,1000,1309,7382
311,1,1000,1310,7380
312,1,1000,1311,7378
313,1,1000,1312,7376
314,1,1000,1313,7374
315,1,1000,1314,7372
316,1,1000,1315,7370
317,1,1000,1316,7368
318,1,1000,1317,7366
319,1,1000,1318,7364
320,1,1000,1319,7362
321,1,1000,1320,7360
322,1,1000,1321,7358
323,1,1000,1322,7356
324,1,1000,1323,7354
325,1,1000,1324,7352
326,1,1000,1325,7350
327,1,1000,1326,7348
328,1,1000,1327,7346
329,1,1000,1328,7344
330,1,1000,1329,7342
331,1,1000,1330,7340
332,1,1000,1331,7338
333,1,1000,1332,7336
334,1,1000,1333,7334
335,1,1000,1334,7332
336,1,1000,1335,7330
337,1,1000,1336,7328
338,1,1000,1337,7326
339,1,1000,1338,7324
340,1,1000,1339,7322
341,1,1000,1340,7320
342,1,1000,1341,7318
343,1,1000,1342,7316
344,1,1000,1343,7314
345,1,1000,1344,7312
346,1,1000,1345,7310
347,1,1000,1346,7308
348,1,1000,1347,7306
349,1,1000,1348,7304
350,1,1000,1349,7302
351,1,1000,1350,7300
352,1,1000,1351,7298
353,1,1000,1352,7296
354,1,1000,1353,7294
355,1,1000,1354,7292
356,1,1000,1355,7290
357,1,1000,1356,7288
358,1,1000,1357,7286
359,1,1000,1358,7284
360,1,1000,1359,7282
361,1,1000,1360,7280
362,1,1000,1361,7278
363,1,1000,1362,7276
364,1,1000,1363,7274
365,1,1000,1364,7272
366,1,1000,1365,7270
367,1,1000,1366,7268
368,1,1000,1367,7266
369,1,1000,1368,7264
370,1,1000,1369,7262
371,1,1000,1370,7260
372,1,1000,1371,7258
373,1,1000,1372,7256
374,1,1000,1373,7254
375,1,1000,1374,7252
376,1,1000,1375,7250
377,1,1000,1376,7248
378,1,1000,1377,7246
379,1,1000,1378,7244
380,1,1000,1379,7242
381,1,1000,1380,7240
382,1,1000,1381,7238
383,1,1000,1382,7236
384,1,1000,1383,7234
385,1,1000,1384,7232
386,1,1000,1385,7230
387,1,1000,1386,7228
388,1,1000,1387,7226
389,1,1000,1388,7224
390,1,1000,1389,7222
391,1,1000,1390,7220
392,1,1000,1391,7218
393,1,1000,1392,7216
394,1,1000,1393,7214
395,1,1000,1394,7212
396,1,1000,1395,7210
397,1,1000,1396,7208
398,1,1000,1397,7206
399,1,1000,1398,7204
400,1,1000,1399,7202
401,1,1000,1400,7200
402,1,1000,1401,7198
403,1,1000,1402,7196
404,1,1000,1403,7194
405,1,1000,1404,7192
406,1,1000,1405,7190
407,1,1000,1406,7188
408,1,1000,1407,7186
409,1,1000,1408,7184
410,1,1000,1409,7182
411,1,1000,1410,7180
412,1,1000,1411,7178
413,1,1000,1412,7176
414,1,1000,1413,7174
415,1,1000,1414,7172
416,1,1000,1415,7170
417,1,1000,1416,7168
418,1,1000,1417,7166
419,1,1000,1418,7164
420,1,1000,1419,7162
421,1,1000,1420,7160
422,1,1000,1421,7158
423,1,1000,1422,7156
424,1,1000,1423,7154
425,1,1000,1424,7152
426,1,1000,1425,7150
427,1,1000,1426,7148
428,1,1000,1427,7146
429,1,1000,1428,7144
430,1,1000,1429,7142
431,1,1000,1430,7140
432,1,1000,1431,7138
433,1,1000,1432,7136
434,1,1000,1433,7134
435,1,1000,1434,7132
436,1,1000,1435,7130
437,1,1000,1436,7128
438,1,1000,1437,7126
439,1,1000,1438,7124
440,1,1000,1439,7122
441,1,1000,1440,7120
442,1,1000,1441,7118
443,1,1000,1442,7116
444,1,1000,1443,7114
445,1,1000,1444,7112
446,1,1000,1445,7110
447,1,1000,1446,7108
448,1,1000,1447,7106
449,1,1000,1448,7104
450,1,1000,1449,7102
451,1,1000,1450,7100
452,1,1000,1451,7098
453,1,1000,1452,7096
454,1,1000,1453,7094
455,1,1000,1454,7092
456,1,1000,1455,7090
457,1,1000,1456,7088
458,1,1000,1457,7086
459,1,1000,1458,7084
460,1,1000,1459,7082
461,1,1000,1460,7080
462,1,1000,1461,7078
463,1,1000,1462,7076
464,1,1000,1463,7074
465,1,1000,1464,7072
466,1,1000,1465,7070
467,1,1000,1466,7068
468,1,1000,1467,7066
469,1,1000,1468,7064
470,1,1000,1469,7062
471,1,1000,1470,7060
472,1,1000,1471,7058
473,1,1000,1472,7056
474,1,1000,1473,7054
475,1,1000,1474,7052
476,1,1000,1475,7050
477,1,1000,1476,7048
478,1,1000,1477,7046
479,1,1000,1478,7044
480,1,1000,1479,7042
481,1,1000,1480,7040
482,1,1000,1481,7038
483,1,1000,1482,7036
484,1,1000,1483,7034
485,1,1000,1484,7032
486,1,1000,1485,7030
487,1,1000,1486,7028
488,1,1000,1487,7026
489,1,1000,1488,7024
490,1,1000,1489,7022
491,1,1000,1490,7020
492,1,1000,1491,7018
493,1,1000,1492,7016
494,1,1000,1493,7014
495,1,1000,1494,7012
496,1,1000,1495,7010
497,1,1000,1496,7008
498,1,1000,1497,7006
499,1,1000,1498,7004
500,1,1000,1499,7002
501,1,1000,1500,7000
502,1,1000,1501,6998
503,1,1000,1502,6996
504,1,1000,1503,6994
505,1,1000,1504,6992
506,1,1000,1505,6990
507,1,1000,1506,6988
508,1,1000,1507,6986
509,1,1000,1508,6984
510,1,1000,1509,6982
511,1,1000,1510,6980
512,1,1000,1511,6978
513,1,1000,1512,6976
514,1,1000,1513,6974
515,1,1000,1514,6972
516,1,1000,1515,6970
517,1,1000,1516,6968
518,1,1000,1517,6966
519,1,1000,1518,6964
520,1,1000,1519,6962
521,1,1000,1520,6960
522,1,1000,1521,6958
523,1,1000,1522,6956
524,1,1000,1523,6954
525,1,1000,1524,6952
526,1,1000,1525,6950
527,1,1000,1526,6948
528,1,1000,1527,6946
529,1,1000,1528,6944
530,1,1000,1529,6942
531,1,1000,1530,6940
532,1,1000,1531,6938
533,1,1000,1532,6936
534,1,1000,1533,6934
535,1,1000,1534,6932
536,1,1000,1535,6930
537,1,1000,1536,6928
538,1,1000,1537,6926
539,1,1000,1538,6924
540,1,1000,1539,6922
541,1,1000,1540,6920
542,1,1000,1541,6918
543,1,1000,1542,6916
544,1,1000,1543,6914
545,1,1000,1544,6912
546,1,1000,1545,6910
547,1,1000,1546,6908
548,1,1000,1547,6906
549,1,1000,1548,6904
550,1,1000,1549,6902
551,1,1000,1550,6900
552,1,1000,1551,6898
553,1,1000,1552,6896
554,1,1000,1553,6894
555,1,1000,1554,6892
556,1,1000,1555,6890
557,1,1000,1556,6888
558,1,1000,1557,6886
559,1,1000,1558,6884
560,1,1000,1559,6882
561,1,1000,1560,6880
562,1,1000,1561,6878
563,1,1000,1562,6876
564,1,1000,1563,6874
565,1,1000,1564,6872
566,1,1000,1565,6870
567,1,1000,1566,6868
568,1,1000,1567,6866
569,1,1000,1568,6864
570,1,1000,1569,6862
571,1,1000,1570,6860
572,1,1000,1571,6858
573,1,1000,1572,6856
574,1,1000,1573,6854
575,1,1000,1574,6852
576,1,1000,1575,6850
577,1,1000,1576,6848
578,1,1000,1577,6846
579,1,1000,1578,6844
580,1,1000,1579,6842
581,1,1000,1580,6840
582,1,1000,1581,6838
583,1,1000,1582,6836
584,1,1000,1583,6834
585,1,1000,1584,6832
586,1,1000,1585,6830
587,1,1000,1586,6828
588,1,1000,1587,6826
589,1,1000,1588,6824
590,1,1000,1589,6822
591,1,1000,1590,6820
592,1,1000,1591,6818
593,1,1000,1592,6816
594,1,1000,1593,6814
595,1,1000,1594,6812
596,1,1000,1595,6810
597,1,1000,1596,6808
598,1,1000,1597,6806
599,1,1000,1598,6804
600,1,1000,1599,6802
601,1,1000,1600,6800
602,1,1000,1601,6798
603,1,1000,1602,6796
604,1,1000,1603,6794
605,1,1000,1604,6792
606,1,1000,1605,6790
607,1,1000,1606,6788
608,1,1000,1607,6786
609,1,1000,1608,6784
610,1,1000,1609,6782
611,1,1000,1610,6780
612,1,1000,1611,6778
613,1,1000,1612,6776
614,1,1000,1613,6774
615,1,1000,1614,6772
616,1,1000,1615,6770
617,1,1000,1616,6768
618,1,1000,1617,6766
619,1,1000,1618,6764
620,1,1000,1619,6762
621,1,1000,1620,6760
622,1,1000,1621,6758
623,1,1000,1622,6756
624,1,1000,1623,6754
625,1,1000,1624,6752
626,1,1000,1625,6750
627,1,1000,1626,6748
628,1,1000,1627,6746
629,1,1000,1628,6744
630,1,1000,1629,6742
631,1,1000,1630,6740
632,1,1000,1631,6738
633,1,1000,1632,6736
634,1,1000,1633,6734
635,1,1000,1634,6732
636,1,1000,1635,6730
637,1,1000,1636,6728
638,1,1000,1637,6726
639,1,1000,1638,6724
640,1,1000,1639,6722
641,1,1000,1640,6720
642,1,1000,1641,6718
643,1,1000,1642,6716
644,1,1000,1643,6714
645,1,1000,1644,6712
646,1,1000,1645,6710
647,1,1000,1646,6708
648,1,1000,1647,6706
649,1,1000,1648,6704
650,1,1000,1649,6702
651,1,1000,1650,6700
652,1,1000,1651,6698
653,1,1000,1652,6696
654,1,1000,1653,6694
655,1,1000,1654,6692
656,1,1000,1655,6690
657,1,1000,1656,6688
658,1,1000,1657,6686
659,1,1000,1658,6684
660,1,1000,1659,6682
661,1,1000,1660,6680
662,1,1000,1661,6678
663,1,1000,1662,6676
664,1,1000,1663,6674
665,1,1000,1664,6672
666,1,1000,1665,6670
667,1,1000,1666,6668
668,1,1000,1667,6666
669,1,1000,1668,6664
670,1,1000,1669,6662
671,1,1000,1670,6660
672,1,1000,1671,6658
673,1,1000,1672,6656
674,1,1000,1673,6654
675,1,1000,1674,6652
676,1,1000,1675,6650
677,1,1000,1676,6648
678,1,1000,1677,6646
679,1,1000,1678,6644
680,1,1000,1679,6642
681,1,1000,1680,6640
682,1,1000,1681,6638
683,1,1000,1682,6636
684,1,1000,1683,6634
685,1,1000,1684,6632
686,1,1000,1685,6630
687,1,1000,1686,6628
688,1,1000,1687,6626
689,1,1000,1688,6624
690,1,1000,1689,6622
691,1,1000,1690,6620
692,1,1000,1691,6618
693,1,1000,1692,6616
694,1,1000,1693,6614
695,1,1000,1694,6612
696,1,1000,1695,6610
697,1,1000,1696,6608
698,1,1000,1697,6606
699,1,1000,1698,6604
700,1,1000,1699,6602
701,1,1000,1700,6600
702,1,1000,1701,6598
703,1,1000,1702,6596
704,1,1000,1703,6594
705,1,1000,1704,6592
706,1,1000,1705,6590
707,1,1000,1706,6588
708,1,1000,1707,6586
709,1,1000,1708,6584
710,1,1000,1709,6582
711,1,1000,1710,6580
712,1,1000,1711,6578
713,1,1000,1712,6576
714,1,1000,1713,6574
715,1,1000,1714,6572
716,1,1000,1715,6570
717,1,1000,1716,6568
718,1,1000,1717,6566
719,1,1000,1718,6564
720,1,1000,1719,6562
721,1,1000,1720,6560
722,1,1000,1721,6558
723,1,1000,1722,6556
724,1,1000,1723,6554
725,1,1000,1724,6552
726,1,1000,1725,6550
727,1,1000,1726,6548
728,1,1000,1727,6546
729,1,1000,1728,6544
730,1,1000,1729,6542
731,1,1000,1730,6540
732,1,1000,1731,6538
733,1,1000,1732,6536
734,1,1000,1733,6534
735,1,1000,1734,6532
736,1,1000,1735,6530
737,1,1000,1736,6528
738,1,1000,1737,6526
739,1,1000,1738,6524
740,1,1000,1739,6522
741,1,1000,1740,6520
742,1,1000,1741,6518
743,1,1000,1742,6516
744,1,1000,1743,6514
745,1,1000,1744,6512
746,1,1000,1745,6510
747,1,1000,1746,6508
748,1,1000,1747,6506
749,1,1000,1748,6504
750,1,1000,1749,6502
751,1,1000,1750,6500
752,1,1000,1751,6498
753,1,1000,1752,6496
754,1,1000,1753,6494
755,1,1000,1754,6492
756,1,1000,1755,6490
757,1,1000,1756,6488
758,1,1000,1757,6486
759,1,1000,1758,6484
760,1,1000,1759,6482
761,1,1000,1760,6480
762,1,1000,1761,6478
763,1,1000,1762,6476
764,1,1000,1763,6474
765,1,1000,1764,6472
766,1,1000,1765,6470
767,1,1000,1766,6468
768,1,1000,1767,6466
769,1,1000,1768,6464
770,1,1000,1769,6462
771,1,1000,1770,6460
772,1,1000,1771,6458
773,1,1000,1772,6456
774,1,1000,1773,6454
775,1,1000,1774,6452
776,1,1000,1775,6450
777,1,1000,1776,6448
778,1,1000,1777,6446
779,1,1000,1778,6444
780,1,1000,1779,6442
781,1,1000,1780,6440
782,1,1000,1781,6438
783,1,1000,1782,6436
784,1,1000,1783,6434
785,1,1000,1784,6432
786,1,1000,1785,6430
787,1,1000,1786,6428
788,1,1000,1787,6426
789,1,1000,1788,6424
790,1,1000,1789,6422
791,1,1000,1790,6420
792,1,1000,1791,6418
793,1,1000,1792,6416
794,1,1000,1793,6414
795,1,1000,1794,6412
796,1,1000,1795,6410
797,1,1000,1796,6408
798,1,1000,1797,6406
799,1,1000,1798,6404
800,1,1000,1799,6402
801,1,1000,1800,6400
802,1,1000,1801,6398
803,1,1000,1802,6396
804,1,1000,1803,6394
805,1,1000,1804,6392
806,1,1000,1805,6390
807,1,1000,1806,6388
808,1,1000,1807,6386
809,1,1000,1808,6384
810,1,1000,1809,6382
811,1,1000,1810,6380
812,1,1000,1811,6378
813,1,1000,1812,6376
814,1,1000,1813,6374
815,1,1000,1814,6372
816,1,1000,1815,6370
817,1,1000,1816,6368
818,1,1000,1817,6366
819,1,1000,1818,6364
820,1,1000,1819,6362
821,1,1000,1820,6360
822,1,1000,1821,6358
823,1,1000,1822,6356
824,1,1000,1823,6354
825,1,1000,1824,6352
826,1,1000,1825,6350
827,1,1000,1826,6348
828,1,1000,1827,6346
829,1,1000,1828,6344
830,1,1000,1829,6342
831,1,1000,1830,6340
832,1,1000,1831,6338
833,1,1000,1832,6336
834,1,1000,1833,6334
835,1,1000,1834,6332
836,1,1000,1835,6330
837,1,1000,1836,6328
838,1,1000,1837,6326
839,1,1000,1838,6324
840,1,1000,1839,6322
841,1,1000,1840,6320
842,1,1000,1841,6318
843,1,1000,1842,6316
844,1,1000,1843,6314
845,1,1000,1844,6312
846,1,1000,1845,6310
847,1,1000,1846,6308
848,1,1000,1847,6306
849,1,1000,1848,6304
850,1,1000,1849,6302
851,1,1000,1850,6300
852,1,1000,1851,6298
853,1,1000,1852,6296
854,1,1000,1853,6294
855,1,1000,1854,6292
856,1,1000,1855,6290
857,1,1000,1856,6288
858,1,1000,1857,6286
859,1,1000,1858,6284
860,1,1000,1859,6282
861,1,1000,1860,6280
862,1,1000,1861,6278
863,1,1000,1862,6276
864,1,1000,1863,6274
865,1,1000,1864,6272
866,1,1000,1865,6270
867,1,1000,1866,6268
868,1,1000,1867,6266
869,1,1000,1868,6264
870,1,1000,1869,6262
871,1,1000,1870,6260
872,1,1000,1871,6258
873,1,1000,1872,6256
874,1,1000,1873,6254
875,1,1000,1874,6252
876,1,1000,1875,6250
877,1,1000,1876,6248
878,1,1000,1877,6246
879,1,1000,1878,6244
880,1,1000,1879,6242
881,1,1000,1880,6240
882,1,1000,1881,6238
883,1,1000,1882,6236
884,1,1000,1883,6234
885,1,1000,1884,6232
886,1,1000,1885,6230
887,1,1000,1886,6228
888,1,1000,1887,6226
889,1,1000,1888,6224
890,1,1000,1889,6222
891,1,1000,1890,6220
892,1,1000,1891,6218
893,1,1000,1892,6216
894,1,1000,1893,6214
895,1,1000,1894,6212
896,1,1000,1895,6210
897,1,1000,1896,6208
898,1,1000,1897,6206
899,1,1000,1898,6204
900,1,1000,1899,6202
901,1,1000,1900,6200
902,1,1000,1901,6198
903,1,1000,1902,6196
904,1,1000,1903,6194
905,1,1000,1904,6192
906,1,1000,1905,6190
907,1,1000,1906,6188
908,1,1000,1907,6186
909,1,1000,1908,6184
910,1,1000,1909,6182
911,1,1000,1910,6180
912,1,1000,1911,6178
913,1,1000,1912,6176
914,1,1000,1913,6174
915,1,1000,1914,6172
916,1,1000,1915,6170
917,1,1000,1916,6168
918,1,1000,1917,6166
919,1,1000,1918,6164
920,1,1000,1919,6162
921,1,1000,1920,6160
922,1,1000,1921,6158
923,1,1000,1922,6156
924,1,1000,1923,6154
925,1,1000,1924,6152
926,1,1000,1925,6150
927,1,1000,1926,6148
928,1,1000,1927,6146
929,1,1000,1928,6144
930,1,1000,1929,6142
931,1,1000,1930,6140
932,1,1000,1931,6138
933,1,1000,1932,6136
934,1,1000,1933,6134
935,1,1000,1934,6132
936,1,1000,1935,6130
937,1,1000,1936,6128
938,1,1000,1937,6126
939,1,1000,1938,6124
940,1,1000,1939,6122
941,1,1000,1940,6120
942,1,1000,1941,6118
943,1,1000,1942,6116
944,1,1000,1943,6114
945,1,1000,1944,6112
946,1,1000,1945,6110
947,1,1000,1946,6108
948,1,1000,1947,6106
949,1,1000,1948,6104
950,1,1000,1949,6102
951,1,1000,1950,6100
952,1,1000,1951,6098
953,1,1000,1952,6096
954,1,1000,1953,6094
955,1,1000,1954,6092
956,1,1000,1955,6090
957,1,1000,1956,6088
958,1,1000,1957,6086
959,1,1000,1958,6084
960,1,1000,1959,6082
961,1,1000,1960,6080
962,1,1000,1961,6078
963,1,1000,1962,6076
964,1,1000,1963,6074
965,1,1000,1964,6072
966,1,1000,1965,6070
967,1,1000,1966,6068
968,1,1000,1967,6066
969,1,1000,1968,6064
970,1,1000,1969,6062
971,1,1000,1970,6060
972,1,1000,1971,6058
973,1,1000,1972,6056
974,1,1000,1973,6054
975,1,1000,1974,6052
976,1,1000,1975,6050
977,1,1000,1976,6048
978,1,1000,1977,6046
979,1,1000,1978,6044
980,1,1000,1979,6042
981,1,1000,1980,6040
982,1,1000,1981,6038
983,1,1000,1982,6036
984,1,1000,1983,6034
985,1,1000,1984,6032
986,1,1000,1985,6030
987,1,1000,1986,6028
988,1,1000,1987,6026
989,1,1000,1988,6024
990,1,1000,1989,6022
991,1,1000,1990,6020
992,1,1000,1991,6018
993,1,1000,1992,6016
994,1,1000,1993,6014
995,1,1000,1994,6012
996,1,1000,1995,6010
997,1,1000,1996,6008
998,1,1000,1997,6006
999,1,1000,1998,6004
1000,1,1000,1999,6002
1001,1,1000,2000,6000
1002,1,1000,2001,5998
1003,1,1000,2002,5996
1004,1,1000,2003,5994
1005,1,1000,2004,5992
1006,1,1000,2005,5990
1007,1,1000,2006,5988
1008,1,1000,2007,5986
1009,1,1000,2008,5984
1010,1,1000,2009,5982
1011,1,1000,2010,5980
1012,1,1000,2011,5978
1013,1,1000,2012,5976
1014,1,1000,2013,5974
1015,1,1000,2014,5972
1016,1,1000,2015,5970
1017,1,1000,2016,5968
1018,1,1000,2017,5966
1019,1,1000,2018,5964
1020,1,1000,2019,5962
1021,1,1000,2020,5960
1022,1,1000,2021,5958
1023,1,1000,2022,5956
1024,1,1000,2023,5954
1025,1,1000,2024,5952
1026,1,1000,2025,5950
1027,1,1000,2026,5948
1028,1,1000,2027,5946
1029,1,1000,2028,5944
1030,1,1000,2029,5942
1031,1,1000,2030,5940
1032,1,1000,2031,5938
1033,1,1000,2032,5936
1034,1,1000,2033,5934
1035,1,1000,2034,5932
1036,1,1000,2035,5930
1037,1,1000,2036,5928
1038,1,1000,2037,5926
1039,1,1000,2038,5924
1040,1,1000,2039,5922
1041,1,1000,2040,5920
1042,1,1000,2041,5918
1043,1,1000,2042,5916
1044,1,1000,2043,5914
1045,1,1000,2044,5912
1046,1,1000,2045,5910
1047,1,1000,2046,5908
1048,1,1000,2047,5906
1049,1,1000,2048,5904
1050,1,1000,2049,5902
1051,1,1000,2050,5900
1052,1,1000,2051,5898
1053,1,1000,2052,5896
1054,1,1000,2053,5894
1055,1,1000,2054,5892
1056,1,1000,2055,5890
1057,1,1000,2056,5888
1058,1,1000,2057,5886
1059,1,1000,2058,5884
1060,1,1000,2059,5882
1061,1,1000,2060,5880
1062,1,1000,2061,5878
1063,1,1000,2062,5876
1064,1,1000,2063,5874
1065,1,1000,2064,5872
1066,1,1000,2065,5870
